ticket_id,customer_id,issue_type,description,status,created_at
73,1,Damaged Product,Customer received a damaged item and uploaded photos as evidence.,Open,2025-10-30 00:42:28
74,48,Warranty Claim,Customer asks whether the product is covered under warranty.,Closed,2026-03-27 17:12:09
75,19,Wrong Item Delivered,Customer received a different item than the one ordered.,In Progress,2026-04-19 04:42:44
76,23,Warranty Claim,Customer asks whether the product is covered under warranty.,In Progress,2025-10-17 14:21:18
77,13,Payment Issue,Customer was charged but did not receive order confirmation.,Resolved,2025-12-04 06:09:22
78,49,Payment Issue,Customer was charged but did not receive order confirmation.,In Progress,2026-02-08 04:56:47
79,7,Payment Issue,Customer was charged but did not receive order confirmation.,Open,2026-01-02 09:28:44
80,29,Damaged Product,Customer received a damaged item and uploaded photos as evidence.,Open,2025-08-01 16:34:02
81,24,Warranty Claim,Customer asks whether the product is covered under warranty.,In Progress,2025-11-14 08:57:07
82,19,Delivery Delay,Customer reports that the order has not arrived within the expected delivery window.,Resolved,2026-06-02 02:39:44
83,27,Payment Issue,Customer was charged but did not receive order confirmation.,In Progress,2026-01-27 16:51:38
84,9,Refund Request,Customer wants to return the product and requests a refund according to the refund policy.,Resolved,2025-08-30 14:19:59
85,33,Warranty Claim,Customer asks whether the product is covered under warranty.,Resolved,2025-09-24 16:51:23
86,11,Wrong Item Delivered,Customer received a different item than the one ordered.,Resolved,2025-07-05 00:22:58
87,31,Wrong Item Delivered,Customer received a different item than the one ordered.,Resolved,2026-03-20 01:01:41
88,22,Payment Issue,Customer was charged but did not receive order confirmation.,Open,2025-12-04 03:01:16
89,5,Technical Issue,Customer reports that the device is not working correctly after setup.,In Progress,2025-06-18 10:26:03
90,15,Wrong Item Delivered,Customer received a different item than the one ordered.,Closed,2026-01-05 16:40:45
91,36,Wrong Item Delivered,Customer received a different item than the one ordered.,Resolved,2026-06-12 05:39:22
92,26,Delivery Delay,Customer reports that the order has not arrived within the expected delivery window.,Open,2026-04-26 23:53:48
93,35,Damaged Product,Customer received a damaged item and uploaded photos as evidence.,Open,2026-01-12 21:24:24
94,24,Technical Issue,Customer reports that the device is not working correctly after setup.,Resolved,2026-03-11 12:38:35
95,25,Warranty Claim,Customer asks whether the product is covered under warranty.,Resolved,2026-03-24 04:14:38
96,44,Delivery Delay,Customer reports that the order has not arrived within the expected delivery window.,In Progress,2026-06-17 22:33:28
97,2,Technical Issue,Customer reports that the device is not working correctly after setup.,Resolved,2026-04-01 22:08:47
98,15,Warranty Claim,Customer asks whether the product is covered under warranty.,Open,2026-03-31 00:21:35
99,30,Payment Issue,Customer was charged but did not receive order confirmation.,Resolved,2026-03-05 05:22:52
100,27,Payment Issue,Customer was charged but did not receive order confirmation.,Open,2025-09-02 07:10:15
